F,,10,=C14+E13,=D14+F13,=E14-F14,=F14-E14,"=IFS(AND(C14>0,G13=0),I13+C14,AND(C14>0,G13>0),I13+C14,AND(C14>0,G13<0),I13+C14*M13/H13,AND(C14=0,G13=0),O14/(J13+D14),AND(C14=0,G13>0),O14/(J13+D14*N13/G13),AND(C14=0,G13<0),O14/(J13+D14))","=IFS(AND(D14>0,H13=0),J13+D14,AND(D14>0,H13>0),J13+D14,AND(D14>0,H13<0),J13+D14*N13/G13,AND(D14=0,H13=0),O14/(I13+C14),AND(D14=0,H13>0),O14/(I13+C14*M13/H13),AND(D14=0,H13<0),O14/(I13+C14))","=IF(I14>=$I$8,0,I13-I14)","=IF(J14>=$J$8,0,J13-J14)","=IF(I14>=$I$8,0,I$8-I14)","=IF(J14>=$J$8,0,J$8-J14)",=O13,=(I13+J13)/I13,=(I13+J13)/J13,"=IF(C14>0,1+(J13-J14)/(C14)*(1-R$5),"""")","=IF(D14>0,1+(I13-I14)/(D14)*(1-S$5),"""")","=IF(C14>0,C14*R14,"""")","=IF(D14>0,D14*S14,"""")","=IF(C14>0,(J13-J14)*R$5,"""")","=IF(D14>0,(I13-I14)*S$5,"""")","=IF(R15>0,X15,P14)","=IF(S15>0,Y15,Q14)",,
G,,10,=C15+E14,=D15+F14,=E15-F15,=F15-E15,"=IFS(AND(C15>0,G14=0),I14+C15,AND(C15>0,G14>0),I14+C15,AND(C15>0,G14<0),I14+C15*M14/H14,AND(C15=0,G14=0),O15/(J14+D15),AND(C15=0,G14>0),O15/(J14+D15*N14/G14),AND(C15=0,G14<0),O15/(J14+D15))","=IFS(AND(D15>0,H14=0),J14+D15,AND(D15>0,H14>0),J14+D15,AND(D15>0,H14<0),J14+D15*N14/G14,AND(D15=0,H14=0),O15/(I14+C15),AND(D15=0,H14>0),O15/(I14+C15*M14/H14),AND(D15=0,H14<0),O15/(I14+C15))","=IF(I15>=$I$8,0,I14-I15)","=IF(J15>=$J$8,0,J14-J15)","=IF(I15>=$I$8,0,I$8-I15)","=IF(J15>=$J$8,0,J$8-J15)",=O14,=(I14+J14)/I14,=(I14+J14)/J14,"=IF(C15>0,1+(J14-J15)/(C15)*(1-R$5),"""")","=IF(D15>0,1+(I14-I15)/(D15)*(1-S$5),"""")","=IF(C15>0,C15*R15,"""")","=IF(D15>0,D15*S15,"""")","=IF(C15>0,(J14-J15)*R$5,"""")","=IF(D15>0,(I14-I15)*S$5,"""")","=IF(R16>0,X16,P15)","=IF(S16>0,Y16,Q15)",,
H,,10,=C16+E15,=D16+F15,=E16-F16,=F16-E16,"=IFS(AND(C16>0,G15=0),I15+C16,AND(C16>0,G15>0),I15+C16,AND(C16>0,G15<0),I15+C16*M15/H15,AND(C16=0,G15=0),O16/(J15+D16),AND(C16=0,G15>0),O16/(J15+D16*N15/G15),AND(C16=0,G15<0),O16/(J15+D16))","=IFS(AND(D16>0,H15=0),J15+D16,AND(D16>0,H15>0),J15+D16,AND(D16>0,H15<0),J15+D16*N15/G15,AND(D16=0,H15=0),O16/(I15+C16),AND(D16=0,H15>0),O16/(I15+C16*M15/H15),AND(D16=0,H15<0),O16/(I15+C16))","=IF(I16>=$I$8,0,I15-I16)","=IF(J16>=$J$8,0,J15-J16)","=IF(I16>=$I$8,0,I$8-I16)","=IF(J16>=$J$8,0,J$8-J16)",=O15,=(I15+J15)/I15,=(I15+J15)/J15,"=IF(C16>0,1+(J15-J16)/(C16)*(1-R$5),"""")","=IF(D16>0,1+(I15-I16)/(D16)*(1-S$5),"""")","=IF(C16>0,C16*R16,"""")","=IF(D16>0,D16*S16,"""")","=IF(C16>0,(J15-J16)*R$5,"""")","=IF(D16>0,(I15-I16)*S$5,"""")","=IF(R17>0,X17,P16)","=IF(S17>0,Y17,Q16)",,
I,,10,=C17+E16,=D17+F16,=E17-F17,=F17-E17,"=IFS(AND(C17>0,G16=0),I16+C17,AND(C17>0,G16>0),I16+C17,AND(C17>0,G16<0),I16+C17*M16/H16,AND(C17=0,G16=0),O17/(J16+D17),AND(C17=0,G16>0),O17/(J16+D17*N16/G16),AND(C17=0,G16<0),O17/(J16+D17))","=IFS(AND(D17>0,H16=0),J16+D17,AND(D17>0,H16>0),J16+D17,AND(D17>0,H16<0),J16+D17*N16/G16,AND(D17=0,H16=0),O17/(I16+C17),AND(D17=0,H16>0),O17/(I16+C17*M16/H16),AND(D17=0,H16<0),O17/(I16+C17))","=IF(I17>=$I$8,0,I16-I17)","=IF(J17>=$J$8,0,J16-J17)","=IF(I17>=$I$8,0,I$8-I17)","=IF(J17>=$J$8,0,J$8-J17)",=O16,=(I16+J16)/I16,=(I16+J16)/J16,"=IF(C17>0,1+(J16-J17)/(C17)*(1-R$5),"""")","=IF(D17>0,1+(I16-I17)/(D17)*(1-S$5),"""")","=IF(C17>0,C17*R17,"""")","=IF(D17>0,D17*S17,"""")","=IF(C17>0,(J16-J17)*R$5,"""")","=IF(D17>0,(I16-I17)*S$5,"""")","=IF(R18>0,X18,P17)","=IF(S18>0,Y18,Q17)",,
J,,10,=C18+E17,=D18+F17,=E18-F18,=F18-E18,"=IFS(AND(C18>0,G17=0),I17+C18,AND(C18>0,G17>0),I17+C18,AND(C18>0,G17<0),I17+C18*M17/H17,AND(C18=0,G17=0),O18/(J17+D18),AND(C18=0,G17>0),O18/(J17+D18*N17/G17),AND(C18=0,G17<0),O18/(J17+D18))","=IFS(AND(D18>0,H17=0),J17+D18,AND(D18>0,H17>0),J17+D18,AND(D18>0,H17<0),J17+D18*N17/G17,AND(D18=0,H17=0),O18/(I17+C18),AND(D18=0,H17>0),O18/(I17+C18*M17/H17),AND(D18=0,H17<0),O18/(I17+C18))","=IF(I18>=$I$8,0,I17-I18)","=IF(J18>=$J$8,0,J17-J18)","=IF(I18>=$I$8,0,I$8-I18)","=IF(J18>=$J$8,0,J$8-J18)",=O17,=(I17+J17)/I17,=(I17+J17)/J17,"=IF(C18>0,1+(J17-J18)/(C18)*(1-R$5),"""")","=IF(D18>0,1+(I17-I18)/(D18)*(1-S$5),"""")","=IF(C18>0,C18*R18,"""")","=IF(D18>0,D18*S18,"""")","=IF(C18>0,(J17-J18)*R$5,"""")","=IF(D18>0,(I17-I18)*S$5,"""")","=IF(R19>0,X19,P18)","=IF(S19>0,Y19,Q18)",,
K,,,=C19+E18,=D19+F18,=E19-F19,=F19-E19,"=IFS(AND(C19>0,G18=0),I18+C19,AND(C19>0,G18>0),I18+C19,AND(C19>0,G18<0),I18+C19*M18/H18,AND(C19=0,G18=0),O19/(J18+D19),AND(C19=0,G18>0),O19/(J18+D19*N18/G18),AND(C19=0,G18<0),O19/(J18+D19))","=IFS(AND(D19>0,H18=0),J18+D19,AND(D19>0,H18>0),J18+D19,AND(D19>0,H18<0),J18+D19*N18/G18,AND(D19=0,H18=0),O19/(I18+C19),AND(D19=0,H18>0),O19/(I18+C19*M18/H18),AND(D19=0,H18<0),O19/(I18+C19))","=IF(I19>=$I$8,0,I18-I19)","=IF(J19>=$J$8,0,J18-J19)","=IF(I19>=$I$8,0,I$8-I19)","=IF(J19>=$J$8,0,J$8-J19)",=O18,=(I18+J18)/I18,=(I18+J18)/J18,"=IF(C19>0,1+(J18-J19)/(C19)*(1-R$5),"""")","=IF(D19>0,1+(I18-I19)/(D19)*(1-S$5),"""")","=IF(C19>0,C19*R19,"""")","=IF(D19>0,D19*S19,"""")","=IF(C19>0,(J18-J19)*R$5,"""")","=IF(D19>0,(I18-I19)*S$5,"""")","=IF(R20>0,X20,P19)","=IF(S20>0,Y20,Q19)",,
L,,,=C20+E19,=D20+F19,=E20-F20,=F20-E20,"=IFS(AND(C20>0,G19=0),I19+C20,AND(C20>0,G19>0),I19+C20,AND(C20>0,G19<0),I19+C20*M19/H19,AND(C20=0,G19=0),O20/(J19+D20),AND(C20=0,G19>0),O20/(J19+D20*N19/G19),AND(C20=0,G19<0),O20/(J19+D20))","=IFS(AND(D20>0,H19=0),J19+D20,AND(D20>0,H19>0),J19+D20,AND(D20>0,H19<0),J19+D20*N19/G19,AND(D20=0,H19=0),O20/(I19+C20),AND(D20=0,H19>0),O20/(I19+C20*M19/H19),AND(D20=0,H19<0),O20/(I19+C20))","=IF(I20>=$I$8,0,I19-I20)","=IF(J20>=$J$8,0,J19-J20)","=IF(I20>=$I$8,0,I$8-I20)","=IF(J20>=$J$8,0,J$8-J20)",=O19,=(I19+J19)/I19,=(I19+J19)/J19,"=IF(C20>0,1+(J19-J20)/(C20)*(1-R$5),"""")","=IF(D20>0,1+(I19-I20)/(D20)*(1-S$5),"""")","=IF(C20>0,C20*R20,"""")","=IF(D20>0,D20*S20,"""")","=IF(C20>0,(J19-J20)*R$5,"""")","=IF(D20>0,(I19-I20)*S$5,"""")","=IF(R21>0,X21,P20)","=IF(S21>0,Y21,Q20)",,
M,,,=C21+E20,=D21+F20,=E21-F21,=F21-E21,"=IFS(AND(C21>0,G20=0),I20+C21,AND(C21>0,G20>0),I20+C21,AND(C21>0,G20<0),I20+C21*M20/H20,AND(C21=0,G20=0),O21/(J20+D21),AND(C21=0,G20>0),O21/(J20+D21*N20/G20),AND(C21=0,G20<0),O21/(J20+D21))","=IFS(AND(D21>0,H20=0),J20+D21,AND(D21>0,H20>0),J20+D21,AND(D21>0,H20<0),J20+D21*N20/G20,AND(D21=0,H20=0),O21/(I20+C21),AND(D21=0,H20>0),O21/(I20+C21*M20/H20),AND(D21=0,H20<0),O21/(I20+C21))","=IF(I21>=$I$8,0,I20-I21)","=IF(J21>=$J$8,0,J20-J21)","=IF(I21>=$I$8,0,I$8-I21)","=IF(J21>=$J$8,0,J$8-J21)",=O20,=(I20+J20)/I20,=(I20+J20)/J20,"=IF(C21>0,1+(J20-J21)/(C21)*(1-R$5),"""")","=IF(D21>0,1+(I20-I21)/(D21)*(1-S$5),"""")","=IF(C21>0,C21*R21,"""")","=IF(D21>0,D21*S21,"""")","=IF(C21>0,(J20-J21)*R$5,"""")","=IF(D21>0,(I20-I21)*S$5,"""")","=IF(R22>0,X22,P21)","=IF(S22>0,Y22,Q21)",,
N,,,=C22+E21,=D22+F21,=E22-F22,=F22-E22,"=IFS(AND(C22>0,G21=0),I21+C22,AND(C22>0,G21>0),I21+C22,AND(C22>0,G21<0),I21+C22*M21/H21,AND(C22=0,G21=0),O22/(J21+D22),AND(C22=0,G21>0),O22/(J21+D22*N21/G21),AND(C22=0,G21<0),O22/(J21+D22))","=IFS(AND(D22>0,H21=0),J21+D22,AND(D22>0,H21>0),J21+D22,AND(D22>0,H21<0),J21+D22*N21/G21,AND(D22=0,H21=0),O22/(I21+C22),AND(D22=0,H21>0),O22/(I21+C22*M21/H21),AND(D22=0,H21<0),O22/(I21+C22))","=IF(I22>=$I$8,0,I21-I22)","=IF(J22>=$J$8,0,J21-J22)","=IF(I22>=$I$8,0,I$8-I22)","=IF(J22>=$J$8,0,J$8-J22)",=O21,=(I21+J21)/I21,=(I21+J21)/J21,"=IF(C22>0,1+(J21-J22)/(C22)*(1-R$5),"""")","=IF(D22>0,1+(I21-I22)/(D22)*(1-S$5),"""")","=IF(C22>0,C22*R22,"""")","=IF(D22>0,D22*S22,"""")","=IF(C22>0,(J21-J22)*R$5,"""")","=IF(D22>0,(I21-I22)*S$5,"""")","=IF(R23>0,X23,P22)","=IF(S23>0,Y23,Q22)",,
O,,,=C23+E22,=D23+F22,=E23-F23,=F23-E23,"=IFS(AND(C23>0,G22=0),I22+C23,AND(C23>0,G22>0),I22+C23,AND(C23>0,G22<0),I22+C23*M22/H22,AND(C23=0,G22=0),O23/(J22+D23),AND(C23=0,G22>0),O23/(J22+D23*N22/G22),AND(C23=0,G22<0),O23/(J22+D23))","=IFS(AND(D23>0,H22=0),J22+D23,AND(D23>0,H22>0),J22+D23,AND(D23>0,H22<0),J22+D23*N22/G22,AND(D23=0,H22=0),O23/(I22+C23),AND(D23=0,H22>0),O23/(I22+C23*M22/H22),AND(D23=0,H22<0),O23/(I22+C23))","=IF(I23>=$I$8,0,I22-I23)","=IF(J23>=$J$8,0,J22-J23)","=IF(I23>=$I$8,0,I$8-I23)","=IF(J23>=$J$8,0,J$8-J23)",=O22,=(I22+J22)/I22,=(I22+J22)/J22,"=IF(C23>0,1+(J22-J23)/(C23)*(1-R$5),"""")","=IF(D23>0,1+(I22-I23)/(D23)*(1-S$5),"""")","=IF(C23>0,C23*R23,"""")","=IF(D23>0,D23*S23,"""")","=IF(C23>0,(J22-J23)*R$5,"""")","=IF(D23>0,(I22-I23)*S$5,"""")","=IF(R24>0,X24,P23)","=IF(S24>0,Y24,Q23)",,
P,,,=C24+E23,=D24+F23,=E24-F24,=F24-E24,"=IFS(AND(C24>0,G23=0),I23+C24,AND(C24>0,G23>0),I23+C24,AND(C24>0,G23<0),I23+C24*M23/H23,AND(C24=0,G23=0),O24/(J23+D24),AND(C24=0,G23>0),O24/(J23+D24*N23/G23),AND(C24=0,G23<0),O24/(J23+D24))","=IFS(AND(D24>0,H23=0),J23+D24,AND(D24>0,H23>0),J23+D24,AND(D24>0,H23<0),J23+D24*N23/G23,AND(D24=0,H23=0),O24/(I23+C24),AND(D24=0,H23>0),O24/(I23+C24*M23/H23),AND(D24=0,H23<0),O24/(I23+C24))","=IF(I24>=$I$8,0,I23-I24)","=IF(J24>=$J$8,0,J23-J24)","=IF(I24>=$I$8,0,I$8-I24)","=IF(J24>=$J$8,0,J$8-J24)",=O23,=(I23+J23)/I23,=(I23+J23)/J23,"=IF(C24>0,1+(J23-J24)/(C24)*(1-R$5),"""")","=IF(D24>0,1+(I23-I24)/(D24)*(1-S$5),"""")","=IF(C24>0,C24*R24,"""")","=IF(D24>0,D24*S24,"""")","=IF(C24>0,(J23-J24)*R$5,"""")","=IF(D24>0,(I23-I24)*S$5,"""")","=IF(R25>0,X25,P24)","=IF(S25>0,Y25,Q24)",,
Q,,,=C25+E24,=D25+F24,=E25-F25,=F25-E25,"=IFS(AND(C25>0,G24=0),I24+C25,AND(C25>0,G24>0),I24+C25,AND(C25>0,G24<0),I24+C25*M24/H24,AND(C25=0,G24=0),O25/(J24+D25),AND(C25=0,G24>0),O25/(J24+D25*N24/G24),AND(C25=0,G24<0),O25/(J24+D25))","=IFS(AND(D25>0,H24=0),J24+D25,AND(D25>0,H24>0),J24+D25,AND(D25>0,H24<0),J24+D25*N24/G24,AND(D25=0,H24=0),O25/(I24+C25),AND(D25=0,H24>0),O25/(I24+C25*M24/H24),AND(D25=0,H24<0),O25/(I24+C25))","=IF(I25>=$I$8,0,I24-I25)","=IF(J25>=$J$8,0,J24-J25)","=IF(I25>=$I$8,0,I$8-I25)","=IF(J25>=$J$8,0,J$8-J25)",=O24,=(I24+J24)/I24,=(I24+J24)/J24,"=IF(C25>0,1+(J24-J25)/(C25)*(1-R$5),"""")","=IF(D25>0,1+(I24-I25)/(D25)*(1-S$5),"""")","=IF(C25>0,C25*R25,"""")","=IF(D25>0,D25*S25,"""")","=IF(C25>0,(J24-J25)*R$5,"""")","=IF(D25>0,(I24-I25)*S$5,"""")","=IF(R26>0,X26,P25)","=IF(S26>0,Y26,Q25)",,
R,,,=C26+E25,=D26+F25,=E26-F26,=F26-E26,"=IFS(AND(C26>0,G25=0),I25+C26,AND(C26>0,G25>0),I25+C26,AND(C26>0,G25<0),I25+C26*M25/H25,AND(C26=0,G25=0),O26/(J25+D26),AND(C26=0,G25>0),O26/(J25+D26*N25/G25),AND(C26=0,G25<0),O26/(J25+D26))","=IFS(AND(D26>0,H25=0),J25+D26,AND(D26>0,H25>0),J25+D26,AND(D26>0,H25<0),J25+D26*N25/G25,AND(D26=0,H25=0),O26/(I25+C26),AND(D26=0,H25>0),O26/(I25+C26*M25/H25),AND(D26=0,H25<0),O26/(I25+C26))","=IF(I26>=$I$8,0,I25-I26)","=IF(J26>=$J$8,0,J25-J26)","=IF(I26>=$I$8,0,I$8-I26)","=IF(J26>=$J$8,0,J$8-J26)",=O25,=(I25+J25)/I25,=(I25+J25)/J25,"=IF(C26>0,1+(J25-J26)/(C26)*(1-R$5),"""")","=IF(D26>0,1+(I25-I26)/(D26)*(1-S$5),"""")","=IF(C26>0,C26*R26,"""")","=IF(D26>0,D26*S26,"""")","=IF(C26>0,(J25-J26)*R$5,"""")","=IF(D26>0,(I25-I26)*S$5,"""")","=IF(R27>0,X27,P26)","=IF(S27>0,Y27,Q26)",,
S,,,=C27+E26,=D27+F26,=E27-F27,=F27-E27,"=IFS(AND(C27>0,G26=0),I26+C27,AND(C27>0,G26>0),I26+C27,AND(C27>0,G26<0),I26+C27*M26/H26,AND(C27=0,G26=0),O27/(J26+D27),AND(C27=0,G26>0),O27/(J26+D27*N26/G26),AND(C27=0,G26<0),O27/(J26+D27))","=IFS(AND(D27>0,H26=0),J26+D27,AND(D27>0,H26>0),J26+D27,AND(D27>0,H26<0),J26+D27*N26/G26,AND(D27=0,H26=0),O27/(I26+C27),AND(D27=0,H26>0),O27/(I26+C27*M26/H26),AND(D27=0,H26<0),O27/(I26+C27))","=IF(I27>=$I$8,0,I26-I27)","=IF(J27>=$J$8,0,J26-J27)","=IF(I27>=$I$8,0,I$8-I27)","=IF(J27>=$J$8,0,J$8-J27)",=O26,=(I26+J26)/I26,=(I26+J26)/J26,"=IF(C27>0,1+(J26-J27)/(C27)*(1-R$5),"""")","=IF(D27>0,1+(I26-I27)/(D27)*(1-S$5),"""")","=IF(C27>0,C27*R27,"""")","=IF(D27>0,D27*S27,"""")","=IF(C27>0,(J26-J27)*R$5,"""")","=IF(D27>0,(I26-I27)*S$5,"""")","=IF(R28>0,X28,P27)","=IF(S28>0,Y28,Q27)",,
T,,,=C28+E27,=D28+F27,=E28-F28,=F28-E28,"=IFS(AND(C28>0,G27=0),I27+C28,AND(C28>0,G27>0),I27+C28,AND(C28>0,G27<0),I27+C28*M27/H27,AND(C28=0,G27=0),O28/(J27+D28),AND(C28=0,G27>0),O28/(J27+D28*N27/G27),AND(C28=0,G27<0),O28/(J27+D28))","=IFS(AND(D28>0,H27=0),J27+D28,AND(D28>0,H27>0),J27+D28,AND(D28>0,H27<0),J27+D28*N27/G27,AND(D28=0,H27=0),O28/(I27+C28),AND(D28=0,H27>0),O28/(I27+C28*M27/H27),AND(D28=0,H27<0),O28/(I27+C28))","=IF(I28>=$I$8,0,I27-I28)","=IF(J28>=$J$8,0,J27-J28)","=IF(I28>=$I$8,0,I$8-I28)","=IF(J28>=$J$8,0,J$8-J28)",=O27,=(I27+J27)/I27,=(I27+J27)/J27,"=IF(C28>0,1+(J27-J28)/(C28)*(1-R$5),"""")","=IF(D28>0,1+(I27-I28)/(D28)*(1-S$5),"""")","=IF(C28>0,C28*R28,"""")","=IF(D28>0,D28*S28,"""")","=IF(C28>0,(J27-J28)*R$5,"""")","=IF(D28>0,(I27-I28)*S$5,"""")","=IF(R29>0,X29,P28)","=IF(S29>0,Y29,Q28)",,
U,,,=C29+E28,=D29+F28,=E29-F29,=F29-E29,"=IFS(AND(C29>0,G28=0),I28+C29,AND(C29>0,G28>0),I28+C29,AND(C29>0,G28<0),I28+C29*M28/H28,AND(C29=0,G28=0),O29/(J28+D29),AND(C29=0,G28>0),O29/(J28+D29*N28/G28),AND(C29=0,G28<0),O29/(J28+D29))","=IFS(AND(D29>0,H28=0),J28+D29,AND(D29>0,H28>0),J28+D29,AND(D29>0,H28<0),J28+D29*N28/G28,AND(D29=0,H28=0),O29/(I28+C29),AND(D29=0,H28>0),O29/(I28+C29*M28/H28),AND(D29=0,H28<0),O29/(I28+C29))","=IF(I29>=$I$8,0,I28-I29)","=IF(J29>=$J$8,0,J28-J29)","=IF(I29>=$I$8,0,I$8-I29)","=IF(J29>=$J$8,0,J$8-J29)",=O28,=(I28+J28)/I28,=(I28+J28)/J28,"=IF(C29>0,1+(J28-J29)/(C29)*(1-R$5),"""")","=IF(D29>0,1+(I28-I29)/(D29)*(1-S$5),"""")","=IF(C29>0,C29*R29,"""")","=IF(D29>0,D29*S29,"""")","=IF(C29>0,(J28-J29)*R$5,"""")","=IF(D29>0,(I28-I29)*S$5,"""")","=IF(R30>0,X30,P29)","=IF(S30>0,Y30,Q29)",,
